shs,hsg,scl,clg,adv,PEXP,PEXP2,PEXP3,PEXP4,PEXP5,PEXP6,PEXP7,PEXP8,PEXP9,MALE,NE,MW,SO,WE,wage,lwage
0,1,0,0,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,1,0,0,0,1,9,2.19722457733622
0,1,0,0,0,36,12.96,46.656,167.9616,604.66176,2176.782336,7836.4164096,28211.09907456,101559.956668416,0,0,0,0,1,18.32,2.90799335924598
0,1,0,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,1,0,0,0,1,12,2.484906649788
0,0,0,1,0,8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.134217728,1,0,0,0,1,20,2.99573227355399
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,2.19722457733622
0,1,0,0,0,14,1.96,2.744,3.8416,5.37824,7.529536,10.5413504,14.75789056,20.661046784,1,0,0,0,1,12.5,2.52572864430826
0,1,0,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,1,0,0,0,1,12,2.484906649788
0,0,0,1,0,6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.010077696,1,0,0,0,1,19.4,2.96527306606928
1,0,0,0,0,6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.010077696,1,0,0,0,1,9,2.19722457733622
0,1,0,0,0,9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,0,0,0,0,1,9,2.19722457733622
0,1,0,0,0,11,1.21,1.331,1.4641,1.61051,1.771561,1.9487171,2.14358881,2.357947691,1,0,0,0,1,10,2.30258509299405
0,0,1,0,0,21,4.41,9.261,19.4481,40.84101,85.766121,180.1088541,378.22859361,794.280046581,1,0,0,0,1,30,3.40119738166216
1,0,0,0,0,21,4.41,9.261,19.4481,40.84101,85.766121,180.1088541,378.22859361,794.280046581,0,0,0,0,1,9,2.19722457733622
0,0,1,0,0,6,0.36,0.216,0.1296,0.07776,0.046656,0.0279936,0.01679616,0.010077696,1,0,0,0,1,10.29,2.33117254984596
0,0,1,0,0,5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,1,0,0,0,1,25,3.2188758248682
0,1,0,0,0,7,0.49,0.343,0.2401,0.16807,0.117649,0.0823543,0.05764801,0.040353607,1,0,0,0,1,15,2.70805020110221
0,1,0,0,0,29,8.41,24.389,70.7281,205.11149,594.823321,1724.9876309,5002.46412961,14507.145975869,1,0,0,0,1,30,3.40119738166216
1,0,0,0,0,34,11.56,39.304,133.6336,454.35424,1544.804416,5252.3350144,17857.93904896,60716.992766464,1,0,0,0,1,22,3.09104245335832
0,1,0,0,0,33,10.89,35.937,118.5921,391.35393,1291.467969,4261.8442977,14064.08618241,46411.484401953,1,0,0,0,1,16,2.77258872223978
0,1,0,0,0,11,1.21,1.331,1.4641,1.61051,1.771561,1.9487171,2.14358881,2.357947691,0,0,0,0,1,9,2.19722457733622
0,1,0,0,0,8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.134217728,1,0,0,0,1,16.25,2.78809290877575
0,0,0,1,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,0,0,0,0,1,15.83,2.76190687389292
1,0,0,0,0,5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,1,0,0,0,1,9.5,2.2512917986065
1,0,0,0,0,5,0.25,0.125,0.0625,0.03125,0.015625,0.0078125,0.00390625,0.001953125,0,0,0,0,1,11,2.39789527279837
0,0,1,0,0,8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.134217728,0,0,0,0,1,11.5,2.4423470353692
0,0,1,0,0,22,4.84,10.648,23.4256,51.53632,113.379904,249.4357888,548.75873536,1207.269217792,0,0,0,0,1,12.31,2.51041194019636
1,0,0,0,0,12,1.44,1.728,2.0736,2.48832,2.985984,3.5831808,4.29981696,5.159780352,1,0,0,0,1,9.5,2.2512917986065
1,0,0,0,0,8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.134217728,1,0,0,0,1,9.5,2.2512917986065
0,0,1,0,0,9,0.81,0.729,0.6561,0.59049,0.531441,0.4782969,0.43046721,0.387420489,1,0,0,0,1,30,3.40119738166216
0,1,0,0,0,8,0.64,0.512,0.4096,0.32768,0.262144,0.2097152,0.16777216,0.134217728,1,0,0,0,1,12,2.484906649788
0,0,0,1,0,20,4,8,16,32,64,128,256,512,0,0,0,0,1,2.5,0.916290731874155
0,0,0,1,0,20,4,8,16,32,64,128,256,512,0,0,0,0,1,14,2.63905732961526
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,2.30258509299405
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,2.01490302054226
0,0,1,0,0,16,2.56,4.096,6.5536,10.48576,16.777216,26.8435456,42.94967296,68.719476736,0,0,0,0,1,16,2.77258872223978
0,1,0,0,0,16,2.56,4.096,6.5536,10.48576,16.777216,26.8435456,42.94967296,68.719476736,1,0,0,0,1,30,3.40119738166216
0,1,0,0,0,23,5.29,12.167,27.9841,64.36343,148.035889,340.4825447,783.10985281,1801.152661463,0,0,0,0,1,13,2.56494935746154
0,0,0,0,1,24,5.76,13.824,33.1776,79.62624,191.102976,458.6471424,1100.75314176,2641.807540224,0,0,0,0,1,60,4.0943445622221
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,2.30258509299405
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,2.19722457733622
0,1,0,0,0,3,0.09,0.027,0.0081,0.00243,0.000729,0.0002187,6.561e-05,1.9683e-05,0,0,0,0,1,10,2.30258509299405
0,1,0,0,0,7,0.49,0.343,0.2401,0.16807,0.117649,0.0823543,0.05764801,0.040353607,0,0,0,0,1,18.49,2.91723004539903
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,2.39789527279837
0,1,0,0,0,1,0.01,0.001,1e-04,1e-05,1e-06,1e-07,1e-08,1e-09,1,0,0,0,1,9.25,2.22462355152433
